framework,suite,test,time_ms
"$mol_wire","s","createComputations0to1","9.4025"
"$mol_wire","s","createComputations1to1","48.2071"
"$mol_wire","s","createComputations2to1","43.3957"
"$mol_wire","s","createComputations4to1","19.8719"
"$mol_wire","s","createComputations1000to1","16.6845"
"$mol_wire","s","createComputations1to2","38.3951"
"$mol_wire","s","createComputations1to4","16.987"
"$mol_wire","s","createComputations1to8","14.8742"
"$mol_wire","s","createComputations1to1000","13.105"
"$mol_wire","s","updateComputations1to1","46.3808"
"$mol_wire","s","updateComputations2to1","27.1593"
"$mol_wire","s","updateComputations4to1","17.4429"
"$mol_wire","s","updateComputations1000to1","7.5861"
"$mol_wire","s","updateComputations1to2","39.8019"
"$mol_wire","s","updateComputations1to4","38.6168"
"$mol_wire","s","updateComputations1to1000","42.4738"
"$mol_wire","dynamic","10x5 - 2 sources - read 20% (simple component)","404.5422"
"$mol_wire","dynamic","10x10 - 6 sources - dynamic - read 20% (dynamic component)","230.0565"
"$mol_wire","dynamic","1000x12 - 4 sources - dynamic (large web app)","385.961"
"$mol_wire","dynamic","1000x5 - 25 sources (wide dense)","522.1969"
"$mol_wire","dynamic","5x500 - 3 sources (deep)","180.5915"
"$mol_wire","cellx","cellx10","0.052"
"$mol_wire","cellx","cellx20","0.0471"
"$mol_wire","cellx","cellx30","0.0656"
"Oby","kairo","avoidablePropagation","155.2885"
"Oby","kairo","broadPropagation","329.0249"
"Oby","kairo","deepPropagation","147.2056"
"Oby","kairo","diamond","192.7884"
"Oby","kairo","mux","304.7292"
"Oby","kairo","repeatedObservers","25.8555"
"Oby","kairo","triangle","86.976"
"Oby","kairo","unstable","43.3202"
"Oby","mol","molBench","405.5598"
"Oby","s","createDataSignals","8.3398"
"Oby","s","createComputations0to1","24.4063"
"Oby","s","createComputations1to1","54.7236"
"Oby","s","createComputations2to1","41.7119"
"Oby","s","createComputations4to1","14.7321"
"Oby","s","createComputations1000to1","8.3678"
"Oby","s","createComputations1to2","39.0069"
"Oby","s","createComputations1to4","34.693"
"Oby","s","createComputations1to8","31.8995"
"Oby","s","createComputations1to1000","31.8641"
"Oby","s","updateComputations1to1","26.4849"
"Oby","s","updateComputations2to1","16.1797"
"Oby","s","updateComputations4to1","10.0253"
"Oby","s","updateComputations1000to1","7.3138"
"Oby","s","updateComputations1to2","25.9541"
"Oby","s","updateComputations1to4","25.395"
"Oby","s","updateComputations1to1000","24.3462"
"Oby","dynamic","10x5 - 2 sources - read 20% (simple component)","312.3928"
"Oby","dynamic","10x10 - 6 sources - dynamic - read 20% (dynamic component)","233.4898"
"Oby","dynamic","1000x12 - 4 sources - dynamic (large web app)","408.7689"
"Oby","dynamic","1000x5 - 25 sources (wide dense)","508.1892"
"Oby","dynamic","5x500 - 3 sources (deep)","189.7269"
"Oby","cellx","cellx10","0.068"
"Oby","cellx","cellx20","0.0571"
"Oby","cellx","cellx30","0.0483"
"Pota","kairo","avoidablePropagation","268.8754"
"Pota","kairo","broadPropagation","425.9998"
"Pota","kairo","deepPropagation","168.4843"
"Pota","kairo","diamond","256.9865"
"Pota","kairo","mux","293.4114"
"Pota","kairo","repeatedObservers","55.0129"
"Pota","kairo","triangle","84.9864"
"Pota","kairo","unstable","76.9322"
"Pota","mol","molBench","406.8832"
"Pota","s","createDataSignals","7.4338"
"Pota","s","createComputations0to1","6.2234"
"Pota","s","createComputations1to1","39.1609"
"Pota","s","createComputations2to1","36.3343"
"Pota","s","createComputations4to1","11.2134"
"Pota","s","createComputations1000to1","8.8584"
"Pota","s","createComputations1to2","33.7857"
"Pota","s","createComputations1to4","12.055"
"Pota","s","createComputations1to8","11.2005"
"Pota","s","createComputations1to1000","12.6338"
"Pota","s","updateComputations1to1","47.6945"
"Pota","s","updateComputations2to1","28.3888"
"Pota","s","updateComputations4to1","17.3414"
"Pota","s","updateComputations1000to1","7.1719"
"Pota","s","updateComputations1to2","36.5003"
"Pota","s","updateComputations1to4","30.2686"
"Pota","s","updateComputations1to1000","24.2806"
"Pota","dynamic","10x5 - 2 sources - read 20% (simple component)","454.145"
"Pota","dynamic","10x10 - 6 sources - dynamic - read 20% (dynamic component)","253.7552"
"Pota","dynamic","1000x12 - 4 sources - dynamic (large web app)","360.2943"
"Pota","dynamic","1000x5 - 25 sources (wide dense)","535.6444"
"Pota","dynamic","5x500 - 3 sources (deep)","207.4258"
"Pota","cellx","cellx10","0.0415"
"Pota","cellx","cellx20","0.0449"
"Pota","cellx","cellx30","0.0271"
"x-reactivity","kairo","avoidablePropagation","221.5339"
"x-reactivity","kairo","broadPropagation","579.6327"
"x-reactivity","kairo","deepPropagation","185.868"
"x-reactivity","kairo","diamond","376.8591"
"x-reactivity","kairo","mux","238.2797"
"x-reactivity","kairo","repeatedObservers","58.3131"
"x-reactivity","kairo","triangle","129.0426"
"x-reactivity","kairo","unstable","103.8963"
"x-reactivity","mol","molBench","423.9729"
"x-reactivity","s","createDataSignals","7.1638"
"x-reactivity","s","createComputations0to1","7.36"
"x-reactivity","s","createComputations1to1","42.3338"
"x-reactivity","s","createComputations2to1","14.6408"
"x-reactivity","s","createComputations4to1","11.1145"
"x-reactivity","s","createComputations1000to1","8.9179"
"x-reactivity","s","createComputations1to2","15.9319"
"x-reactivity","s","createComputations1to4","12.5197"
"x-reactivity","s","createComputations1to8","11.427"
"x-reactivity","s","createComputations1to1000","10.4426"
"x-reactivity","s","updateComputations1to1","70.8896"
"x-reactivity","s","updateComputations2to1","40.7078"
"x-reactivity","s","updateComputations4to1","20.5553"
"x-reactivity","s","updateComputations1000to1","6.856"
"x-reactivity","s","updateComputations1to2","51.0691"
"x-reactivity","s","updateComputations1to4","35.6669"
"x-reactivity","s","updateComputations1to1000","29.2942"
"x-reactivity","dynamic","10x5 - 2 sources - read 20% (simple component)","1073.5542"
